N,N_E,C_E,J,g,eta,rate,cv,sync,silent,score
1250,1000,100,0.6325,5,0.9,15.28,0.9,0.0339,0.0,0.1912
1250,1000,100,0.6325,5,1.0,19.56,0.937,0.0258,0.0,0.4604
1250,1000,100,0.6325,5,1.1,24.77,0.988,0.0306,0.0,0.7819
1250,1000,100,0.6325,5,1.2,28.73,1.029,0.0263,0.0,1.0806
1250,1000,100,0.6325,5,1.3,32.36,1.026,0.0278,0.0,1.3368
1250,1000,100,0.6325,5,1.5,40.61,1.069,0.0218,0.0,1.9699
1250,1000,100,0.6325,5,1.75,49.88,1.13,0.0234,0.0,2.6932
1250,1000,100,0.6325,5,2.0,57.61,1.142,0.0223,0.0,3.2564
1250,1000,100,0.6325,6,0.9,10.28,0.892,0.025,0.0,0.3735
1250,1000,100,0.6325,6,1.0,14.08,0.981,0.0182,0.0,0.0245
1250,1000,100,0.6325,6,1.1,17.22,1.017,0.0202,0.0,0.2471
1250,1000,100,0.6325,6,1.2,19.6,1.065,0.0156,0.0,0.4649
1250,1000,100,0.6325,6,1.3,22.27,1.13,0.0191,0.0,0.7201
1250,1000,100,0.6325,6,1.5,27.34,1.196,0.0172,0.0,1.1488
1250,1000,100,0.6325,6,1.75,34.3,1.278,0.0164,0.0,1.7275
1250,1000,100,0.6325,6,2.0,41.1,1.311,0.0154,0.0,2.2469
1250,1000,100,0.6325,7,0.9,8.12,0.91,0.0141,0.0,0.5101
1250,1000,100,0.6325,7,1.0,11.09,0.986,0.0154,0.0,0.2221
1250,1000,100,0.6325,7,1.1,12.86,1.028,0.0146,0.0,0.109
1250,1000,100,0.6325,7,1.2,15.13,1.121,0.0137,0.0,0.2009
1250,1000,100,0.6325,7,1.3,17.33,1.132,0.0122,0.0,0.3698
1250,1000,100,0.6325,7,1.5,21.45,1.241,0.0122,0.0,0.7736
1250,1000,100,0.6325,7,1.75,27.15,1.364,0.0118,0.0,1.3037
1250,1000,100,0.6325,7,2.0,31.87,1.41,0.0125,0.0,1.6869
1250,1000,100,0.6325,8,0.9,6.81,0.929,0.0104,0.0,0.5847
1250,1000,100,0.6325,8,1.0,9.04,0.988,0.0114,0.0,0.3662
1250,1000,100,0.6325,8,1.1,10.57,1.039,0.0105,0.0,0.2843
1250,1000,100,0.6325,8,1.2,13.04,1.125,0.0105,0.0,0.1936
1250,1000,100,0.6325,8,1.3,14.38,1.159,0.0095,0.0,0.1864
1250,1000,100,0.6325,8,1.5,17.54,1.255,0.0099,0.0,0.5081
1250,1000,100,0.6325,8,1.75,22.29,1.418,0.0106,0.0,1.0099
1250,1000,100,0.6325,8,2.0,27.19,1.49,0.0096,0.0,1.4326
1250,1000,100,0.6325,10,0.9,5.66,0.933,0.0091,0.0,0.6628
1250,1000,100,0.6325,10,1.0,7.29,0.998,0.0079,0.0,0.4816
1250,1000,100,0.6325,10,1.1,8.54,1.077,0.0078,0.0,0.4667
1250,1000,100,0.6325,10,1.2,9.87,1.14,0.0076,0.0,0.435
1250,1000,100,0.6325,10,1.3,11.43,1.178,0.0062,0.0,0.3615
1250,1000,100,0.6325,10,1.5,13.57,1.282,0.0061,0.0,0.3129
1250,1000,100,0.6325,10,1.75,18.15,1.443,0.0078,0.0,0.7395
1250,1000,100,0.6325,10,2.0,20.32,1.532,0.0072,0.0,0.9841
1250,1000,100,0.6325,12,0.9,4.75,0.944,0.01,0.0,0.7173
1250,1000,100,0.6325,12,1.0,5.95,1.03,0.0061,0.0,0.6053
1250,1000,100,0.6325,12,1.1,7.26,1.095,0.0053,0.0,0.5768
1250,1000,100,0.6325,12,1.2,8.25,1.167,0.0054,0.0,0.5769
1250,1000,100,0.6325,12,1.3,9.52,1.212,0.0057,0.0,0.5318
1250,1000,100,0.6325,12,1.5,11.96,1.355,0.0059,0.0,0.5
1250,1000,100,0.6325,12,1.75,15.08,1.5,0.0054,0.0,0.5769
1250,1000,100,0.6325,12,2.0,17.37,1.583,0.0047,0.0,0.8236
