n_excitatory,n_inhibitory,sim_time,dt,epsilon,g,eta,J_ex,n_threads,tau,amplitude,sigma_intra,sigma_extra,smooth_window_ms,tau_method,spike_cut_window,solver,lag_ms,lam,lam_l2,chunk_size,n_epochs,lr,device,data_path,name,seed,output_dir,connectivity/spearman,connectivity/pearson,connectivity/auc,connectivity/f1,connectivity/precision,connectivity/recall,diag/ei_ratio,diag/daleianity,diag/overlap,diag/type_acc,duration_s,timestamp,run_dir
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,3.1,ransac,5,fista,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,overview/EN+rescale_balance,42,results/methods_overview,0.4042252539739996,0.5531005259550841,0.8255498741276177,0.4819525610175318,0.3571064696892511,0.741014799154334,1.630677339215929,0.68634910786823,0.9600823210691805,0.81,0.0,2026-06-18T22:32:16,results/methods_overview/EN_rescale_balance
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,3.1,ransac,5,fista,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,overview/EN+dale,42,results/methods_overview,0.4609451996467387,0.3346608625292505,0.8571205022050687,0.4943977591036414,0.3696335078534031,0.7463002114164905,0.0973194763525908,1.0,0.0871027233447825,0.92,0.0,2026-06-18T22:32:16,results/methods_overview/EN_dale
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,3.1,ransac,5,fista,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,overview/EN_daleReg,42,results/methods_overview,0.4702078132762733,0.3360341221485105,0.8609134967966412,0.5148080438756856,0.3935159306875349,0.7441860465116279,0.1051642821024656,1.0,0.0902433780174964,0.92,0.0,2026-06-18T22:32:16,results/methods_overview/EN_daleReg
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,3.1,ransac,5,fista,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,overview/EN_daleReg+balance,42,results/methods_overview,0.4702078132762733,0.3360341221485105,0.8609134967966412,0.5148080438756856,0.3935159306875349,0.7441860465116279,0.1051642821024656,1.0,0.0902433780174964,0.92,0.0,2026-06-18T22:32:16,results/methods_overview/EN_daleReg_balance
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,3.1,ransac,5,fista,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,overview/EN+mixture,42,results/methods_overview,0.4596109669598912,0.3383402318751729,0.851458783228916,0.4241359109548916,0.293354943273906,0.7653276955602537,0.2131606687904923,0.7121912698498112,0.108697992784978,0.82,0.0,2026-06-18T22:32:16,results/methods_overview/EN_mixture
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,3.1,ransac,5,fista,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,overview/EN+dale+mixture,42,results/methods_overview,0.5013033984322094,0.3337250256540183,0.8549644270622553,0.4943977591036414,0.3696335078534031,0.7463002114164905,0.0973194763525908,1.0,0.0850951438971158,0.92,0.0,2026-06-18T22:32:16,results/methods_overview/EN_dale_mixture
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,3.1,ransac,5,fista,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,overview/EN+dale+balance,42,results/methods_overview,0.4609451996467387,0.3346608625292505,0.8571205022050687,0.4943977591036414,0.3696335078534031,0.7463002114164905,0.0973194763525908,1.0,0.0871027233447825,0.92,0.0,2026-06-18T22:32:16,results/methods_overview/EN_dale_balance
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,3.1,ransac,5,fista,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,overview/EN+dale+mixture+balance,42,results/methods_overview,0.5013033984322094,0.3337250256540183,0.8549644270622553,0.4943977591036414,0.3696335078534031,0.7463002114164905,0.0973194763525908,1.0,0.0850951438971158,0.92,0.0,2026-06-18T22:32:16,results/methods_overview/EN_dale_mixture_balance
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,3.1,ransac,5,fista,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,overview/EN+oracle,42,results/methods_overview,0.3931008752603201,0.5526126844659776,0.8140423852993524,0.5053250091810504,0.3871693866066404,0.7272727272727273,5.2029611286303705,0.68634910786823,197.9218942320744,0.8367346938775511,0.0,2026-06-18T22:32:16,results/methods_overview/EN_oracle
80,20,5000.0,0.1,0.1,5.0,2.0,1.0,1,100.0,1.0,0.01,0.05,3.1,ransac,5,fista,1.5,1.0,0.001,10000,10,0.001,,results/solver_comparison_N100/dataset,overview/OLS,42,results/methods_overview,0.4167632541119292,0.3525196953141583,0.8698755584686778,0.3004816598740274,0.1821653189577718,0.857293868921776,0.2911778596182468,0.535969197497272,0.1452765751718595,0.83,0.0,2026-06-18T22:43:48,results/methods_overview/OLS
